DEELGEMEENTE;STRAAT;NUMMER;TYPE;LIGGING;MI_STYLE;MI_PRINX;latWGS84;loWGS84;Aangemaakt op
;;;;;;1574;51.2300555353934;3.20633232689868;30/10/2017
Zeebrugge;ZEEDIJK;ZB032;ZD;thv nr 28;Symbol (35, 0, 12);918;51.328677332241;3.17737921090444;30/10/2017
Centrum;BARGEWEG;BR147;L;komende van Katelijnebrug, 1e mand rechts;Symbol (35, 0, 12);662;51.198049824946;3.22695825773299;30/10/2017
Sint-Jozef;KOOLKERKSE STEENWEG;SJ053;F;aan bushalte t.h.v. nr. 140;;1701;51.225265259839;3.2357165168378;30/10/2017
Kruisabele;SIKKELSTRAAT;KR011;F;in dreef aan picknicktafel (kant Boudewijnkanaal);;1796;51.2444786488233;3.22770075630589;30/10/2017
Centrum;BARGEWEG;BR164;L;naast mobilehomeparking;Symbol (35, 0, 12);678;51.1964562097686;3.22597913151338;30/10/2017
Centrum;ZONNEKEMEERS;BR378;L;Oud Sint-Jan, aan terras naast lantaarnpaal nr 2602;Symbol (35, 0, 12);995;51.2033599204554;3.22278850657589;30/10/2017
;;;;;;1776;51.3195080868822;3.18604258483406;30/10/2017
Dudzele;DAMSE STEENWEG;DU003;F;aan glasbol;Symbol (35, 0, 12);1057;51.2757335655668;3.23321529177464;30/10/2017
Centrum;HALLETOREN;BR450;F;trappen op, overloop 1e verdieping;Symbol (35, 0, 12);1087;51.2082483710074;3.22486569619771;30/10/2017
Sint-Michiels;ALFONS DE BAECKESTRAAT;SM021;F;aan bushalte thv rolschaatspiste;Symbol (35, 0, 12);1269;51.1831567975379;3.21307113376768;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;234;51.1925297927387;3.18046683851434;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1354;51.194358289507;3.18344868885379;30/10/2017
Sint-Kruis;MAALSE STEENWEG;SK011;F;aan bushalte op hoek met Pelderijnstraat;;303;51.2074423965538;3.28814077258929;30/10/2017
brugge centrum;BREIDELSTRAAT;BR298;L;rechts naast nr. 11;;1904;51.2085854172295;3.22589154987997;30/10/2017
Centrum;BURG;BR418;L;op scheiding plein/park naast Park Hotel;Symbol (35, 0, 12);1023;51.2088556947956;3.22703331502893;30/10/2017
Zeebrugge;REDERSKAAI;ZB071;ZD;r.o. nr 24;Symbol (35, 0, 12);614;51.3341523197238;3.20393828234401;30/10/2017
Centrum;MINNEWATERPARK;BR134;L;aan korte zijde van petanqueveld;Symbol (35, 0, 12);651;51.1991690633931;3.22441865748112;30/10/2017
Sint-Andries;ZEEWEG;SAXXX;;B-T-CH kruidentuin;Symbol (35, 0, 12);1410;51.1686202040788;3.16800234290483;30/10/2017
Centrum;SINCFALPARK;BR349;L;op voetbal- en basketplein;Symbol (35, 0, 12);1101;51.2198345458409;3.22582536296559;30/10/2017
Assebroek;BERGJESBOS;AS005;F;langs wandelpad in bos ter hoogte van poel;;1747;51.1901519948537;3.25309253964746;30/10/2017
Christus-Koning;GULDEN-VLIESLAAN;CK017;L;r.o. nr 36;Symbol (35, 0, 12);885;51.2123548393893;3.21431845512817;30/10/2017
Brugge;GROENEREI;BR007;La;rechtover nr. 16;;1805;51.2093994858965;3.23114254507958;30/10/2017
Sint-Pieters;SINT-PIETERSPLAS;SP078;F;op pad tss ingang en vijver (naast gebouw);Symbol (35, 0, 12);1178;51.2328674386216;3.19872828756827;30/10/2017
Zeebrugge;VISMIJNSTRAAT;ZB151;ZD;thv nr 95;Symbol (35, 0, 12);600;51.3331845377103;3.20569024633928;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;232;51.1925634946767;3.18013032653992;30/10/2017
Centrum;BUITEN DE SMEDENVEST;BR211;L;naast asfaltpaadje;Symbol (35, 0, 12);714;51.2068503552932;3.2123091047458;30/10/2017
Sint-Kruis;SCHAAKSTRAAT;SK133;F;aan bushalte r.o. Keizerstraat;;1878;51.21253718329;3.25288640150155;30/10/2017
Sint-Andries;KOUDE KEUKEN;SA011;F;langs inrijdreef van kasteel;Symbol (35, 0, 12);1129;51.2008147000516;3.18209864405601;30/10/2017
;;;;;;1670;51.202697313199;3.19907975157853;30/10/2017
Sint-Pieters;KOLVESTRAAT;SP062;F;aan bushalte thv nr 1;Symbol (35, 0, 12);463;51.2424379263812;3.20068146482616;30/10/2017
Assebroek;EGIED STRUBBESTRAAT;AS084;F;"op pleintje ""De Kaproenen"" (r.o. G. Roelandtsplein)";;70;51.200198874501;3.24625864749256;30/10/2017
Centrum;KRAANPLEIN;BR166;L;plein op hoek met Vlamingstraat;Symbol (35, 0, 12);986;51.2105241333548;3.22460327369284;30/10/2017
Assebroek;DAVERLOSTRAAT;AS075;F;aan bushalte r.o. nr 351;;61;51.1938007065227;3.25359046555382;30/10/2017
Zeebrugge;VISMIJNSTRAAT;ZB147;ZD;thv nr 47;Symbol (35, 0, 12);596;51.3327649849248;3.2040303509204;30/10/2017
Sint-Kruis;BRIEVERSWEG;SK043;FL;aan bushalte r.o. nr147;;324;51.212831926078;3.2721265765363;30/10/2017
Sint-Michiels;;SM082;FL;Kerkebeekpad tussen Spoorwegstraat en zijingang VHI;;1665;51.1944216964605;3.21723951506377;30/10/2017
Sint-Andries;ZEEWEG;SAXXX;F;B-T-CH cafetaria Tudor;Symbol (35, 0, 12);1412;51.1709679632842;3.1658238926139;30/10/2017
Centrum;KUIPERSSTRAAT;BR002;L;achterzijde Stadsschouwburg;Symbol (35, 0, 12);484;51.2104883176558;3.22317799844585;30/10/2017
Zeebrugge;BASTENAKENSTRAAT;ZB059;ZD;aan ingang parking naast Stella-Mariskerk;Symbol (35, 0, 12);942;51.3283596645725;3.18268103570036;30/10/2017
Assebroek;BOSSUYTLAAN;AS143;F;aan bushalte op hoek met Zevekotedreef;;1813;51.2013222203483;3.25009744088119;30/10/2017
;;;;;;1697;51.1986402720271;3.23999078259479;30/10/2017
Centrum;PREDIKHERENREI;BR119;F;aan bank, lantarnpaal & boom;Symbol (35, 0, 12);639;51.2066286288539;3.23549271600613;30/10/2017
Zeebrugge;SINT-DONAASSTRAAT;ZB051;F;aan fietsrekken r.o. Zandrietpad;Symbol (35, 0, 12);1396;51.3337845316873;3.20968758475342;30/10/2017
Centrum;BOEVERIESTRAAT;BR434;L;op Dumeryplein;Symbol (35, 0, 12);875;51.2019746044156;3.21582402842992;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1350;51.1940089180182;3.18281573813013;30/10/2017
Lissewege;SCHARPHOUTSTRAAT;LI016;F;aan speelplein;Symbol (35, 0, 12);1077;51.297010639227;3.18793589962545;30/10/2017
Centrum;MAAGDENSTRAAT;BR227;L;thv nr 20;Symbol (35, 0, 12);729;51.2042622602315;3.21405008345275;30/10/2017
Sint-Michiels;;SM031;F;aan bushalte thv UNIC;Symbol (35, 0, 12);376;51.1792693810814;3.21954848206064;30/10/2017
Sint-Pieters;MONNIKENWERVE;SP119;F;aan bushalte t.h.v.nr. 92;;1818;51.2463511013526;3.2039501467643;30/10/2017
Sint-Andries;PETER BENOITLAAN;SA103;F;aan speelplein op hoek met Jan Breydellaan;;168;51.2091061546232;3.20729224389795;30/10/2017
Centrum;KONING ALBERTPARK;BR178;L;aan bank r.o. laatste ingang naar Capucientje;Symbol (35, 0, 12);685;51.2027971856215;3.21889719153532;30/10/2017
Brugge;335;BR468;L;r.o. Zilverstraat vlak naast bushalte;;1549;51.2058026617531;3.22090000646128;30/10/2017
Centrum;BONINVEST;BR436;L;achter gebouw;Symbol (35, 0, 12);1000;51.2044197376061;3.23632666720375;30/10/2017
Centrum;KOMVEST;BR184;F;aan banken r.o. Calvariebergstraat;Symbol (35, 0, 12);690;51.2210469613355;3.2280137983818;30/10/2017
Sint-Kruis;INVALIDENSTRAAT;SK120;FL;aan bank op speelplein met hoek De Mote;;1663;51.2086657863722;3.24463329485429;30/10/2017
Sint-Andries;MAGDALENASTRAAT;SA092;F;parking Sint-Lodewijkscollege;Symbol (35, 0, 12);1234;51.2011835424104;3.20982281923368;30/10/2017
Centrum;DIJVER;BR430;L;r.o. nr 12;Symbol (35, 0, 12);1028;51.2060105554893;3.22557729132941;30/10/2017
Sint-Michiels;RIJSELSTRAAT;SM103;F;Parking De Rode Poort aan ingang;;1755;51.1782771470418;3.20880939312617;30/10/2017
Sint-Kruis;DE LINDE;SK033;F;aan zitbank op hoek met Puienbroeklaan;;318;51.2109355053853;3.27206598140527;30/10/2017
Sint-Pieters;TEMPELHOF;SP083;F;aan buitenbanken van petanqueterrein;Symbol (35, 0, 12);479;51.2269962419192;3.20384765511388;30/10/2017
Sint-Michiels;KONINGIN ASTRIDLAAN;SM091;F;aan bushalte r.o. nr 266;Symbol (35, 0, 12);399;51.1879848056256;3.19439284904454;30/10/2017
Sint-Michiels;RIJSELSTRAAT;SM040;FL;r.o. nr 109;Symbol (35, 0, 12);381;51.1865355084385;3.21041140945432;30/10/2017
brugge-centrum;;BR295;F;Hof De Jonghe : aan picknicktafel kant JM Sabbestraat;;1912;51.2187312543415;3.22777389695529;30/10/2017
Centrum;DR. SEBRECHTSPARK;BR444;L;aan toegangsboog in Oude Zak;Symbol (35, 0, 12);1029;51.2100889047272;3.21760869903136;30/10/2017
Sint-Michiels;179;SM061;ZD;achterzijde station op platform aan de hoofdingang;;1563;51.1966090043729;3.21636675159582;30/10/2017
Sint-Kruis;DE LINDE;SK084;F;naast zitbank thv nr 93;Symbol (35, 0, 12);1119;51.2101143538209;3.28090031744787;30/10/2017
Sint-Michiels;KONING ALBERT I-LAAN;SM007;F;op parking r.o. nr. 76;;1765;51.1918577816646;3.21230696331842;30/10/2017
Sint-Andries;;SA172;F;Koude Keuken, binnen omheining peuterspeeltuin;;1846;51.2030269744855;3.18239888801285;30/10/2017
Assebroek;MATMEERS;AS007;F;op pleintje;;6;51.2037652638468;3.24668938142812;30/10/2017
Assebroek;TRAGELWEG;AS089;F;aan 2 banken thv fietsersbrug BN;Symbol (35, 0, 12);1161;51.1920465132516;3.23136156551257;30/10/2017
Sint-Pieters;RUSTENBURGSTRAAT;SP031;F;Van Geluweplein, tussen banken;Symbol (35, 0, 12);441;51.2203791505929;3.20607968275893;30/10/2017
Dudzele;AMAAT VYNCKESTRAAT;DU004;F;sportterrein, naast voetbalveld;Symbol (35, 0, 12);787;51.2759752382012;3.22990229041267;30/10/2017
Centrum;KONING ALBERTPARK;BR182;L;aan trapingang naar 't Capucientje;Symbol (35, 0, 12);755;51.2023344489812;3.21921849328755;30/10/2017
Sint-Andries;KOUDE KEUKEN;SA001;F;aan oostzijde vijver aan 2 banken;Symbol (35, 0, 12);1229;51.2051469280616;3.18340894776069;30/10/2017
Sint-Kruis;VELTEMWEG;SK104;F;aan survival-track;;343;51.2074957289686;3.25750445753132;30/10/2017
Sint-Andries;ALBERT SERREYNSTRAAT;SA170;F;op parking aan ingang gemeentehuis;;1803;51.197536649906;3.18090371136107;30/10/2017
brugge centrum;STATIONSPLEIN;BR291;S;aan bushalte - perron 10 (middenperron);;1898;51.1984625560043;3.21817314885681;30/10/2017
Sint-Andries;EDGARD DE SMEDTPLANTSOEN;SA095;F;aan banken in midden van plein;;163;51.2017509150053;3.20835701659682;30/10/2017
Sint-Kruis;DOORNHUT;SK070;F;aan bushalte thv GB;;344;51.2095344402677;3.2670752406647;30/10/2017
Dudzele;WESTKAPELSE STEENWEG;DU024;F;aan bushalte t.h.v. nr. 139;;1829;51.2808803341108;3.23357225371035;30/10/2017
Sint-Michiels;SINT-MICHIELSLAAN;SM135;F;naast bank aan kerk;;1797;51.1798112645817;3.22011207958125;30/10/2017
Zeebrugge;ZEEDIJK;ZB023;ZD;thv nr 8;Symbol (35, 0, 12);929;51.3294868628948;3.18079706642441;30/10/2017
Sint-Michiels;JOSU? MAERTENSTRAAT;SM097;F;op speelplein aan picknicktafels;Symbol (35, 0, 12);1149;51.1883642224187;3.21919920316957;30/10/2017
Lissewege;4037;LI018;F;aan bank naast speelplein;;1553;51.2934236486606;3.19611988773955;30/10/2017
Centrum;NOORDZANDSTRAAT;BR249;L;op 1e binnenplein van Zilverpand;Symbol (35, 0, 12);1039;51.2066035042473;3.2201556462618;30/10/2017
Assebroek;HERV? STALPAERTSTRAAT;AS124;F;in begin van wegel naar Kriekenstraat;;1619;51.199287817904;3.24590765828117;30/10/2017
Christus-Koning;WERFPLEIN;CK004;F;aan petanqueterrein;Symbol (35, 0, 12);1066;51.218952443498;3.21815210493175;30/10/2017
Sint-Kruis;BABBAERTSTRAAT;SK087;F;aan grote speeltuin;;356;51.2158878626351;3.27113586581819;30/10/2017
Sint-Pieters;;SP052;F;aan toegang naar OCMW-gebouwen;Symbol (35, 0, 12);454;51.2272458679372;3.21121654134249;30/10/2017
Brugge;335;BR467;L;t.h.v. nr. 92;;1548;51.2060693813647;3.22120353167991;30/10/2017
Centrum;HOEFIJZERLAAN;BR078;F;thv nr 39 (aan bushalte);Symbol (35, 0, 12);550;51.2079727119511;3.2154544508048;30/10/2017
Kruisabele;DUDZEELSE STEENWEG;KR006;ZD;aan bushalte r.o. nr 620;;105;51.2544500010563;3.22893047549889;30/10/2017
brugge;228;BR470;L;Minnewaterpark, aan dambord (noordkant);;1581;51.1990651469426;3.22569271607103;30/10/2017
Centrum;VRIJDAGMARKT;BR453;L;op hoek met Boeveriestraat;Symbol (35, 0, 12);1467;51.2041349788494;3.21715972255754;30/10/2017
Brugge;KONINGIN ELISABETHLAAN;BR486;F;aan bushalte op hoek met Ezelpoort;;1759;51.2159039273722;3.21690281027234;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1353;51.1940216486468;3.18258302795398;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1348;51.1934918590779;3.18418259127467;30/10/2017
Centrum;KONING ALBERTPARK;BR257;L;aan bank tussen 2 toegangen Capucientje (bovenste wandelpad);Symbol (35, 0, 12);688;51.2026624270115;3.21910157931957;30/10/2017
Assebroek;SCHIJFSTRAAT;AS137;F;op speelplein (ingang thv nr. 61) aan picknicktafel;;1724;51.1885128087896;3.23748234705717;30/10/2017
Brugge;BEGIJNENVEST;BR477;F;aan 3 banken tegenaan Boeveriepoort (spoorwegtunnel);;1692;51.1996318902616;3.21572337471219;30/10/2017
Sint-Michiels;RIJSELSTRAAT;SM132;ZD;langs fietspad tussen KTA en balkonrotonde;;1735;51.1938654642372;3.21406898978763;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;206;51.1940691923827;3.18073934192091;30/10/2017
Assebroek;DAVERLOPARK;AS019;F;aan afdak voor toeschouwers tss voetbalterreinen;;78;51.1940247992879;3.24641080104217;30/10/2017
Centrum;HUGO VERRIESTSTRAAT;BR333;L;op hoek met pleintje, tegen blinde muur;Symbol (35, 0, 12);1009;51.2138061857378;3.23690884801256;30/10/2017
Assebroek;BURGEMEESTER A. V. RENTERGHEMSTRAAT;AS102;F;naast bank tegen Daverlostraat;;83;51.1963303726067;3.24452388670239;30/10/2017
Sint-Andries;KOUDE KEUKEN;SA016;F;aan vijver;Symbol (35, 0, 12);1221;51.204526979038;3.18179579208907;30/10/2017
Sint-Andries;MAGDALENASTRAAT;SA094;F;parking Sint-Lodewijkscollege;Symbol (35, 0, 12);1236;51.2015245727837;3.21103916859841;30/10/2017
Assebroek;DAVERLOPARK;AS022;F;aan withouthe barak naast voetbalterrein;Symbol (35, 0, 12);1362;51.1941071433504;3.24653976737171;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1372;51.1940253339025;3.18006543668198;30/10/2017
Centrum;BREIDELSTRAAT;BR042;L;net v??r nr. 1;Symbol (35, 0, 12);519;51.2085300852;3.22523699091615;30/10/2017
Sint-Michiels;KERKEBEEKPAD;SM019;F+;aan houten brugje naast VHSI;Symbol (35, 0, 12);1506;51.1933883377499;3.21603240978081;30/10/2017
Centrum;HUIDENVETTERSPLEIN;BR059;L;"aan bootjesverhuur ""Rozenhoedkaai""";Symbol (35, 0, 12);533;51.2079348299543;3.22779747738414;30/10/2017
Sint-Andries;5030;SA040;F;aan bushalte r.o. Bosdreef;;130;51.1959555947283;3.17416030761964;30/10/2017
Centrum;BURG;BR415;L;rechts naast ingang van 't Brugse Vrije;Symbol (35, 0, 12);864;51.2085272431218;3.22734206657781;30/10/2017
Sint-Andries;GISTELSE STEENWEG;SA108;F;voor gemeentehuis;;170;51.1973987651577;3.1812153083188;30/10/2017
Sint-Pieters;;SP049;FL;aan bushalte thv nr 113;Symbol (35, 0, 12);451;51.2237598882684;3.20094062447684;30/10/2017
Zeebrugge;REDERSKAAI;ZB070;ZD;r.o. nr 26;Symbol (35, 0, 12);613;51.3342885710885;3.20447873431704;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;249;51.1923911411539;3.18108450707741;30/10/2017
Lissewege;SCHARPHOUTSTRAAT;LI008;F;aan skatepark;;1075;51.2979588971384;3.18806423674773;30/10/2017
Centrum;GROENESTRAAT;BR374;F;r.o. inrit school aan huisnr 25;Symbol (35, 0, 12);843;51.2114951269463;3.21659246978584;30/10/2017
Centrum;BEGIJNENVEST;BR390;F;in parkje aan poertoren aan minnewaterbrug (aan verlichtingspaal);Symbol (35, 0, 12);964;51.1985553631592;3.22291384739062;30/10/2017
Sint-Jozef;BINNENWEG;SJ025;L;aan skatepark entrepot;Symbol (35, 0, 12);1241;51.2251496568282;3.2257726478731;30/10/2017
Centrum;MARIASTRAAT;BR096;L;aan hoek met OLV-kerkhof;Symbol (35, 0, 12);565;51.2041710261806;3.2243347452574;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1387;51.1942141534642;3.18063421293099;30/10/2017
Brugge-Centrum;NOORDZANDSTRAAT;BR492;L;t.h.v. nr. 84;;1862;51.2062904251431;3.21821600221738;30/10/2017
Zeebrugge;EVENDIJK-OOST;ZB043;F;sportcomplex, groenzone;Symbol (35, 0, 12);631;51.3303413269633;3.2142773922302;30/10/2017
Centrum;WOLLESTRAAT;BR424;L;aan hoek met Rozenhoedkaai;Symbol (35, 0, 12);870;51.2070218445882;3.22709663077976;30/10/2017
Assebroek;PRINSES MARIA CHRISTINALAAN;AS108;F;aan jeugdlokalen;Symbol (35, 0, 12);1427;51.1955144663645;3.24903454599488;30/10/2017
Sint-Jozef;KOOLKERKSE STEENWEG;SJ032;F;aan bushalte thv nr 191;;295;51.2290416617636;3.23898837498646;30/10/2017
Sint-Andries;EDGARD DE SMEDTPLANTSOEN;SA123;F;aan petanqueplein naast banken;;180;51.2020701930694;3.20770898968704;30/10/2017
Centrum;VISMARKT;BR286;L;hoek Braambergstraat;Symbol (35, 0, 12);799;51.2077933744086;3.22875103184046;30/10/2017
Centrum;BUITEN BOEVERIEVEST;BR207;L;nabij brugje;Symbol (35, 0, 12);710;51.2033744357941;3.21273096872458;30/10/2017
Assebroek;BARON RUZETTELAAN;AS073;FL;aan bushalte thv nr 439;;59;51.1819489966579;3.2351827147345;30/10/2017
Centrum;STEENHOUWERSDIJK;BR285;L;op hoek met Vismarkt;Symbol (35, 0, 12);796;51.2082117046904;3.22814861158759;30/10/2017
Sint-Jozef;PANNEBEKESTRAAT;SJ038;FL;op speelplein aan bank in hoek JF Willemsstraat;;1905;51.227249558316;3.23059317493867;30/10/2017
Sint-Andries;HUBRECHT DE CROOCKSTRAAT;SA007;FL;aan speelplein;;114;51.1998513424319;3.18692450397046;30/10/2017
Zeebrugge;ZEEDIJK;ZB008;ZD;voor Palace Hotel;Symbol (35, 0, 12);934;51.3298289295138;3.18232359063531;30/10/2017
Brugge;POTTENMAKERSSTRAAT;BR493;FL;tegenaan Vlamingbrug;;1852;51.2123069075167;3.22239935241359;30/10/2017
Sint-Pieters;BEEKWEG;SP116;F;naast bank r.o. nr. 15;;1768;51.2235372449164;3.20971635353336;30/10/2017
Sint-Michiels;SINT-MICHIELSLAAN;SM028;F;r.o. nr 59;Symbol (35, 0, 12);374;51.1797505606538;3.2130374397007;30/10/2017
Zeebrugge;ZEEDIJK;ZB009;ZD;voor Palace Hotel;Symbol (35, 0, 12);933;51.3297490260983;3.18198158515433;30/10/2017
Zeebrugge;729;ZB097;F;aan uitkijk recht tegenover de Zeesluisstraat;Symbol (35, 0, 12);1522;51.3362464336589;3.21390889550858;30/10/2017
Assebroek;GENERAAL LEMANLAAN;AS045;F;aan bushalte thv nr. 29;;34;51.2022227762638;3.23756053338655;30/10/2017
Zeebrugge;MARKTPLEIN;ZB087;F;r.o. nr2;Symbol (35, 0, 12);626;51.3312557136917;3.20953599333801;30/10/2017
Zeebrugge;GRAAF JANSDIJK;ZB105;ZD;op hoek met Witte Bankstraat;;1614;51.334053141335;3.2004422989323;30/10/2017
Sint-Andries;EDGARD DE SMEDTPLANTSOEN;SA125;F;aan banken in midden van plein;;182;51.2017675690447;3.2082828165823;30/10/2017
Assebroek;BARON RUZETTELAAN;AS008;F;thv nr 27;;7;51.1980133335668;3.23110734318358;30/10/2017
Sint-Pieters;;SP111;F;Park Ter Poele;;1689;51.22747278906;3.21186224891329;30/10/2017
Centrum;WILLEMIJNENPLANTSOEN;BR456;F;aan zitsteen;Symbol (35, 0, 12);1473;51.204397048901;3.23263225927441;30/10/2017
Dudzele;DUDZEELSE STEENWEG;DU017;ZD;aan bushalte r.o. nr 662;Symbol (35, 0, 12);790;51.2660951513824;3.22209934465813;30/10/2017
Assebroek;BUITEN GENTPOORTVEST;AS010;F;aan schuilhuisje op heok met G. Lemanlaan;;9;51.2025297982225;3.23561622314863;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1346;51.1931254145181;3.18300232517146;30/10/2017
Sint-Andries;EDGARD DE SMEDTPLANTSOEN;SA124;F;aan petanqueplein naast banken;;181;51.2019036288714;3.20785885920289;30/10/2017
Centrum;BARGEWEG;BR253;L;op plein van openbaar toilet;Symbol (35, 0, 12);751;51.1979434717036;3.22626549848043;30/10/2017
Zeebrugge;ZEEDIJK;ZB024;ZD;thv nr 11;Symbol (35, 0, 12);928;51.3293817377672;3.18036692390876;30/10/2017
Assebroek;CANADARING;ASXXX;;kinderboerderij;Symbol (35, 0, 12);1295;51.1889975690696;3.24529980355228;30/10/2017
Assebroek;SINT-KATARINASTRAAT;AS098;F;t.h.v. schoolingang;Symbol (35, 0, 12);1191;51.1971134768601;3.2366099424613;30/10/2017
Brugge-centrum;NOORDZANDSTRAAT;BR488;L;r.o. Helmstraat;;1858;51.2074463221448;3.2202999014124;30/10/2017
Sint-Kruis;MOERKERKSE STEENWEG;SK032;F;aan bushalte thv rondpunt aan Doornhut;;317;51.2140273693733;3.26435283419645;30/10/2017
Sint-Andries;KERKHOFSTRAAT;SA047;F;thv parking;;135;51.1953005040253;3.17964564216769;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1331;51.1929343479475;3.17967087680575;30/10/2017
Centrum;SIMON STEVINPLEIN;BR279;L;r.o. nr 18 (aan fietsrekken);Symbol (35, 0, 12);1015;51.206591603295;3.22258632199013;30/10/2017
Sint-Jozef;AUGUST VERMEYLENSTRAAT;SJ030;F;op pad naar Jan Lernoutstraat aan speelweide;Symbol (35, 0, 12);1254;51.230001085663;3.23740181024356;30/10/2017
Sint-Jozef;PAUL DEVAUXSTRAAT;SJ056;F;aan banken op pleintje r.o. nr. 2;;1788;51.2261642804598;3.23759633118701;30/10/2017
Brugge;PREDIKHERENREI;BR469;L;plein Rijksarchief aan ingang parking;;1542;51.2088789162815;3.23377906566999;30/10/2017
Sint-Pieters;SINT-PIETERSPLAS;SP076;F;op pad tss ingang en vijver (naast gebouw);Symbol (35, 0, 12);1180;51.2331154883513;3.19908569749358;30/10/2017
Brugge;224;BR384;La;op hoek met Markt;Symbol (35, 0, 12);900;51.2082475905668;3.22406048581641;30/10/2017
Sint-Michiels;KONINGIN ASTRIDLAAN;SM120;F;op fietspad door park Bloemenoord thv krachtballokaal;Symbol (35, 0, 12);1469;51.1873342863333;3.20595850107738;30/10/2017
Sint-Andries;KONING LEOPOLD III-LAAN;SA060;F;r.o. kerkhofstraat;;146;51.1958316833895;3.18245587799929;30/10/2017
Christus-Koning;GRAAF VISARTPARK;CK002;L;op speelplein aan banken;Symbol (35, 0, 12);973;51.211774319134;3.21242691980935;30/10/2017
Assebroek;LELIESTRAAT;AS014;FL;domein 'de Lelie' aan speelplein;Symbol (35, 0, 12);1483;51.1979207321453;3.2410383007469;30/10/2017
Zeebrugge;KUSTLAAN;ZB139;ZD;aan ingang parking D;;1677;51.3268557256777;3.18187650944769;30/10/2017
Centrum;SNAGGAARDSTRAAT;BR358;F;aan buurtgarages (inrit naast nr64);Symbol (35, 0, 12);836;51.2159019664618;3.2360018500066;30/10/2017
Zeebrugge;EVENDIJK-OOST;ZB095;F;sportcomplex, aan ingang sporthal;Symbol (35, 0, 12);630;51.330226356917;3.21365689109196;30/10/2017
Sint-Pieters;BINNENWEG;SJ033;F;onder afdak fietsrekken entrepot;;1598;51.2253500796747;3.22540631917177;30/10/2017
Assberoek;ASTRIDLAAN;AS150;F;aan bushalte t.h.v. nr. 142;;1836;51.196679564232;3.25300190711347;30/10/2017
Sint-Kruis;GERALAAN;SK117;F;langs fietspad naar Zuidervaartje thv toegang voetbalterrein;Symbol (35, 0, 12);1453;51.2199688212783;3.24724078421997;30/10/2017
Centrum;KOONING ALBERT I-LAAN;BR133;M;op fietspad tussen rondpunt en 't Zand;Symbol (35, 0, 12);650;51.2025778147213;3.21767037448331;30/10/2017
Centrum;O.L.V. KERKHOF ZUID;BR370;L;in groenzone r.o. nr 14;Symbol (35, 0, 12);996;51.2042802205879;3.22460139691935;30/10/2017
Sint-Kruis;MOERKERKSE STEENWEG;SK046;F;aan grote toegangsweg naar kerk;;1785;51.2138327826899;3.24918976273788;30/10/2017
Brugge;155;BR105;L;op Ankerplaats;;1580;51.2027506065746;3.22573550968183;30/10/2017
Centrum;'T ZAND;BR236;L;thv nr 15 (Portinari);Symbol (35, 0, 12);738;51.2055563604801;3.21793818601898;30/10/2017
Sint-Andries;LIEVEN BAUWENSSTRAAT;SA116;M;aan bushalte thv nr 37;;174;51.2153850723472;3.19370686931794;30/10/2017
Centrum;MOERSTRAAT;BR016;L;aan urinoir Sint-Jacobskerk;Symbol (35, 0, 12);496;51.2102773626745;3.22042497866916;30/10/2017
;;;;;;1808;51.2445877904833;3.22119304287223;30/10/2017
Centrum;JAKOBINESSENSTRAAT;BR043;L;aan basketterrein (ingang via nr 47);Symbol (35, 0, 12);1205;51.2034665244237;3.23179160368427;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;198;51.1927612848615;3.17974721387847;30/10/2017
Centrum;JAN VAN EYCKPLEIN;BR022;L;thv hoek met Spiegelrei;Symbol (35, 0, 12);502;51.2117235143509;3.22615872147497;30/10/2017
Assebroek;GENERAAL LEMANLAAN;AS061;F;aan bushalte r.o. nr. 202;;48;51.2010094437236;3.24529972115426;30/10/2017
Centrum;ROZENHOEDKAAI;BR080;L;op hoek met Pandreitje;Symbol (35, 0, 12);552;51.2072587003866;3.22786381853056;30/10/2017
Zeebrugge;BARON DE MAERELAAN;ZB128;240l;op mobilhomeparking;Symbol (35, 0, 12);777;51.3282407319516;3.18469462842331;30/10/2017
Centrum;NOORDZANDSTRAAT;BR268;L;thv nr 3;Symbol (35, 0, 12);768;51.208287834051;3.22120750847595;30/10/2017
Assebroek;NIJVERHEIDSSTRAAT;AS107;F;aan bushaltepaal t.h.v. nr. 15;Symbol (35, 0, 12);1482;51.2029402973065;3.23697498900839;30/10/2017
